应变(%),应力(N/mm^2),力(N),位移(mm),变形Y(mm),变形Z(mm),时间(s),Temperature1(-),Temperature2(-),Temperature3(-),变形X(mm)
0,0.09733349,19.72,0,0,0,0.05078125,0.1,0.1,0.1,0
0,0.09777771,19.81,0,0,0,0.06787109,0.1,0.1,0.1,0
0,0.09777771,19.81,0,0,0,0.08496094,0.1,0.1,0.1,0
0,0.09945588,20.15,0,0,0,0.1020508,0.1,0.1,0.1,0
5.292075E-06,0.1002456,20.31,0,9.536743E-07,0,0.1191406,0.1,0.1,0.1,0
5.292075E-06,0.1049839,21.27,4.577637E-05,9.536743E-07,0,0.1357422,0.1,0.1,0.1,0
5.292075E-06,0.109821,22.25,0.0001068115,9.536743E-07,0,0.152832,0.1,0.1,0.1,0
5.292075E-06,0.1165337,23.61,0.0001068115,9.536743E-07,0,0.1699219,0.1,0.1,0.1,0
5.292075E-06,0.1227034,24.86,0.0001525879,9.536743E-07,0,0.1870117,0.1,0.1,0.1,0
1.058415E-05,0.1301564,26.37,0.0001983643,1.907349E-06,0,0.2041016,0.1,0.1,0.1,0
5.292075E-06,0.1391395,28.19,0.0002441406,9.536743E-07,0,0.2207031,0.1,0.1,0.1,0
5.292075E-06,0.1523674,30.87,0.0003509521,9.536743E-07,0,0.237793,0.1,0.1,0.1,0
5.292075E-06,0.1736899,35.19,0.0004577637,9.536743E-07,0,0.2548828,0.1,0.1,0.1,0
5.292075E-06,0.2066609,41.87,0.0005950928,9.536743E-07,0,0.2719727,0.1,0.1,0.1,0
5.292075E-06,0.244469,49.53,0.0008544922,9.536743E-07,0,0.2890625,0.1,0.1,0.1,0
5.292075E-06,0.2850904,57.76,0.00100708,9.536743E-07,0,0.3056641,0.1,0.1,0.1,0
5.292075E-06,0.3198876,64.81,0.001098633,9.536743E-07,0,0.3227539,0.1,0.1,0.1,0
5.292075E-06,0.3506375,71.04,0.001251221,9.536743E-07,0,0.3398438,0.1,0.1,0.1,0
5.292075E-06,0.379265,76.84,0.001358032,9.536743E-07,0,0.3569336,0.1,0.1,0.1,0
5.292075E-06,0.404783,82.01,0.001449585,9.536743E-07,0,0.3740234,0.1,0.1,0.1,0
0,0.4311894,87.36,0.001556396,0,0,0.3911133,0.1,0.1,0.1,0
0,0.4549304,92.17,0.001602173,0,0,0.4077148,0.1,0.1,0.1,0
0,0.483015,97.86,0.001693726,0,0,0.4248047,0.1,0.1,0.1,0
0,0.5096188,103.25,0.001800537,0,0,0.4418945,0.1,0.1,0.1,0
0,0.5341496,108.22,0.001907349,0,0,0.4589844,0.1,0.1,0.1,0
0,0.5587298,113.2,0.001998901,0,0,0.4760742,0.1,0.1,0.1,0
5.292075E-06,0.5788184,117.27,0.002044678,9.536743E-07,0,0.4926758,0.1,0.1,0.1,0
5.292075E-06,0.6026089,122.09,0.002151489,9.536743E-07,0,0.5097656,0.1,0.1,0.1,0
0,0.6256096,126.75,0.002243042,0,0,0.5268555,0.1,0.1,0.1,0
0,0.6506833,131.83,0.002304077,0,0,0.5439453,0.1,0.1,0.1,0
0,0.6781262,137.39,0.00239563,0,0,0.5610352,0.1,0.1,0.1,0
